Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
LYKALABS,Lyka Labs Limited,"  40,949 "
IITL,Industrial Investment Trust Limited,"  40,927 "
IL&FSENGG,IL&FS Engineering and Construction Company Limited,"  40,779 "
GOLDSTAR,Goldstar Power Limited,"  40,438 "
KCPSUGIND,KCP Sugar and Industries Corporation Limited,"  40,308 "
TPLPLASTEH,TPL Plastech Limited,"  40,289 "
CLOUD,Varanium Cloud Limited,"  40,226 "
PODDARMENT,Poddar Pigments Limited,"  40,185 "
CRAYONS,Crayons Advertising Limited,"  40,175 "
HIGREEN,Hi-Green Carbon Limited,"  40,096 "
RUCHIRA,Ruchira Papers Limited,"  39,977 "
SHREERAMA,Shree Rama Multi-Tech Limited,"  39,974 "
FOCE,Foce India Limited,"  39,926 "
VMARCIND,V Marc India Limited,"  39,795 "
NATHBIOGEN,Nath Bio-Genes (India) Limited,"  39,414 "
VINSYS,Vinsys IT Services India Limited,"  39,337 "
APOLSINHOT,Apollo Sindoori Hotels Limited,"  39,266 "
EIFFL,Euro India Fresh Foods Limited,"  39,258 "
NDL,Nandan Denim Limited,"  38,487 "
REMSONSIND,Remsons Industries Limited,"  38,462 "
SAAKSHI,Saakshi Medtech and Panels Limited,"  38,419 "
SYSTANGO,Systango Technologies Limited,"  38,249 "
VIPCLOTHNG,VIP Clothing Limited,"  38,201 "
MAWANASUG,Mawana Sugars Limited,"  37,806 "
BROOKS,Brooks Laboratories Limited,"  37,690 "
RAMAPHO,Rama Phosphates Limited,"  37,651 "
TIL,TIL Limited,"  37,629 "
PVP,PVP Ventures Limited,"  37,628 "
KOTHARIPRO,Kothari Products Limited,"  37,454 "
RBMINFRA,Rbm Infracon Limited,"  37,411 "
ANMOL,Anmol India Limited,"  37,222 "
IVC,IL&FS Investment Managers Limited,"  37,056 "
AURUM,Aurum PropTech Limited,"  36,961 "
SADBHAV,Sadbhav Engineering Limited,"  36,716 "
KODYTECH,Kody Technolab Limited,"  36,649 "
MEGASTAR,Megastar Foods Limited,"  36,619 "
MAHEPC,Mahindra EPC Irrigation Limited,"  36,594 "
MIRCELECTR,MIRC Electronics Limited,"  36,491 "
RANASUG,Rana Sugars Limited,"  36,396 "
BEWLTD,BEW Engineering Limited,"  36,320 "
SRGHFL,SRG Housing Finance Limited,"  36,238 "
DRONE,Drone Destination Limited,"  36,171 "
DYNPRO,Dynemic Products Limited,"  36,079 "
STARPAPER,Star Paper Mills Limited,"  36,071 "
ASAHISONG,Asahi Songwon Colors Limited,"  36,045 "
DEVIT,Dev Information Technology Limited,"  36,023 "
INSPIRISYS,Inspirisys Solutions Limited,"  35,952 "
SHREYANIND,Shreyans Industries Limited,"  35,772 "
NILAINFRA,Nila Infrastructures Limited,"  35,647 "
URAVI,Uravi T and Wedge Lamps Limited,"  35,596 "
AYMSYNTEX,AYM Syntex Limited,"  35,521 "
REPL,Rudrabhishek Enterprises Limited,"  35,509 "
ROXHITECH,Rox Hi Tech Limited,"  35,453 "
PRAXIS,Praxis Home Retail Limited,"  35,425 "
HINDMOTORS,Hindustan Motors Limited,"  35,263 "
PONNIERODE,Ponni Sugars (Erode) Limited,"  35,168 "
SCPL,Sheetal Cool Products Limited,"  35,123 "
SKP,SKP Bearing Industries Limited,"  35,026 "
EMKAY,Emkay Global Financial Services Limited,"  35,001 "
SMLT,Sarthak Metals Limited,"  34,943 "
STARTECK,Starteck Finance Limited,"  34,840 "
COASTCORP,Coastal Corporation Limited,"  34,822 "
SINTERCOM,Sintercom India Limited,"  34,768 "
TIPSFILMS,Tips Films Limited,"  34,654 "
SOLEX,Solex Energy Limited,"  34,560 "
PREMIERPOL,Premier Polyfilm Limited,"  34,376 "
AIRAN,Airan Limited,"  34,318 "
CAREERP,Career Point Limited,"  34,303 "
PROV,Proventus Agrocom Limited,"  34,275 "
SAKHTISUG,Sakthi Sugars Limited,"  34,110 "
TAKE,Take Solutions Limited,"  34,099 "
IZMO,IZMO Limited,"  33,731 "
KNAGRI,KN Agri Resources Limited,"  33,499 "
PPAP,PPAP Automotive Limited,"  33,397 "
PASUPTAC,Pasupati Acrylon Limited,"  33,336 "
BHAGYANGR,Bhagyanagar India Limited,"  33,211 "
PRECOT,Precot Limited,"  32,844 "
ZODIACLOTH,Zodiac Clothing Company Limited,"  32,817 "
MHLXMIRU,Mahalaxmi Rubtech Limited,"  32,801 "
ASHIMASYN,Ashima Limited,"  32,774 "
SAH,Sah Polymers Limited,"  32,761 "
INFINIUM,Infinium Pharmachem Limited,"  32,703 "
SHERA,Shera Energy Limited,"  32,576 "
RVHL,Ravinder Heights Limited,"  32,494 "
LOYALTEX,Loyal Textile Mills Limited,"  32,489 "
UCAL,UCAL LIMITED,"  32,474 "
DCMNVL,DCM Nouvelle Limited,"  32,406 "
MANORG,Mangalam Organics Limited,"  32,399 "
HARRMALAYA,Harrisons  Malayalam Limited,"  32,075 "
ESSENTIA,Integra Essentia Limited,"  31,992 "
LGHL,Laxmi Goldorna House Limited,"  31,663 "
GSS,GSS Infotech Limited,"  31,511 "
MANAKSTEEL,Manaksia Steels Limited,"  31,293 "
VISHWARAJ,Vishwaraj Sugar Industries Limited,"  31,171 "
LGBFORGE,LGB Forge Limited,"  31,085 "
BASML,Bannari Amman Spinning Mills Limited,"  30,832 "
MURUDCERA,Murudeshwar Ceramics Limited,"  30,752 "
JAYSREETEA,Jayshree Tea & Industries Limited,"  30,726 "
GUJAPOLLO,Gujarat Apollo Industries Limited,"  30,721 "
DELPHIFX,DELPHI WORLD MONEY LIMITED,"  30,691 "
PILITA,PIL ITALICA LIFESTYLE LIMITED,"  30,668 "
ELECTHERM,Electrotherm (India) Limited,"  30,589 "
ABAN,Aban Offshore Limited,"  30,554 "
TEMBO,Tembo Global Industries Limited,"  30,330 "
INDTERRAIN,Indian Terrain Fashions Limited,"  30,074 "
SURANI,Surani Steel Tubes Limited,"  30,024 "
KRITIKA,Kritika Wires Limited,"  29,957 "
HINDCON,Hindcon Chemicals Limited,"  29,665 "
PRITIKAUTO,Pritika Auto Industries Limited,"  29,653 "
AARON,Aaron Industries Limited,"  29,545 "
MWL,Mangalam Worldwide Limited,"  29,536 "
VIRINCHI,Virinchi Limited,"  29,401 "
RAJMET,Rajnandini Metal Limited,"  29,169 "
ZODIAC,Zodiac Energy Limited,"  29,040 "
KMSUGAR,K.M.Sugar Mills Limited,"  29,026 "
ELGIRUBCO,Elgi Rubber Company Limited,"  28,954 "
MARALOVER,Maral Overseas Limited,"  28,744 "
ZEAL,Zeal Global Services Limited,"  28,616 "
USASEEDS,Upsurge Seeds Of Agriculture Limited,"  28,596 "
RAJTV,Raj Television Network Limited,"  28,397 "
PARAGON,Paragon Fine and Speciality Chemical Limited,"  28,371 "
MCLEODRUSS,Mcleod Russel India Limited,"  28,360 "
PRITI,Priti International Limited,"  28,059 "
GULFPETRO,GP Petroleums Limited,"  27,939 "
TRF,TRF Limited,"  27,913 "
MEP,MEP Infrastructure Developers Limited,"  27,884 "
EQUIPPP,Equippp Social Impact Technologies Limited,"  27,836 "
MANOMAY,Manomay Tex India Limited,"  27,606 "
SUPERHOUSE,Superhouse Limited,"  27,436 "
SECL,Salasar Exteriors and Contour Limited,"  27,230 "
GOYALSALT,Goyal Salt Limited,"  27,119 "
EFORCE,Electro Force (India) Limited,"  27,086 "
NECCLTD,North Eastern Carrying Corporation Limited,"  27,035 "
PROPEQUITY,P. E. Analytics Limited,"  26,818 "
FROG,Frog Cellsat Limited,"  26,761 "
BAIDFIN,Baid Finserv Limited,"  26,655 "
ARIES,Aries Agro Limited,"  26,600 "
KRISHCA,Krishca Strapping Solutions Limited,"  26,554 "
PAR,Par Drugs And Chemicals Limited,"  26,541 "
SELMC,SEL Manufacturing Company Limited,"  26,342 "
SUNDRMBRAK,Sundaram Brake Linings Limited,"  26,293 "
RANEENGINE,Rane Engine Valve Limited,"  25,943 "
RAMANEWS,Shree Rama Newsprint Limited,"  25,816 "
SUPREMEPWR,Supreme Power Equipment Limited,"  25,716 "
KAPSTON,Kapston Services Limited,"  25,380 "
IRIS,Iris Business Services Limited,"  25,208 "
ABINFRA,A B Infrabuild Limited,"  25,204 "
KANPRPLA,Kanpur Plastipack Limited,"  25,129 "
SEJALLTD,Sejal Glass Limited,"  25,038 "
TARACHAND,Tara Chand InfraLogistic Solutions Limited,"  25,001 "
RUCHINFRA,Ruchi Infrastructure Limited,"  24,998 "
GINNIFILA,Ginni Filaments Limited,"  24,667 "
BTML,Bodhi Tree Multimedia Limited,"  24,661 "
AHLEAST,Asian Hotels (East) Limited,"  24,641 "
SVLL,Shree Vasu Logistics Limited,"  24,480 "
SPECTSTM,Spectrum Talent Management Limited,"  24,409 "
RHL,Robust Hotels Limited,"  24,407 "
LAL,Lorenzini Apparels Limited,"  24,399 "
BYKE,The Byke Hospitality Ltd,"  24,279 "
COMPUSOFT,Compucom Software Limited,"  23,975 "
AKSHARCHEM,AksharChem India Limited,"  23,975 "
SARTELE,Sar Televenture Limited,"  23,963 "
RPPL,Rajshree Polypack Limited,"  23,917 "
ALMONDZ,Almondz Global Securities Limited,"  23,914 "
INTENTECH,Intense Technologies Limited,"  23,902 "
MGEL,Mangalam Global Enterprise Limited,"  23,862 "
HILTON,Hilton Metal Forging Limited,"  23,846 "
NDGL,Naga Dhunseri Group Limited,"  23,799 "
DUCON,Ducon Infratechnologies Limited,"  23,785 "
SJLOGISTIC,S J Logistics (India) Limited,"  23,752 "
GILLANDERS,Gillanders Arbuthnot & Company Limited,"  23,711 "
CANARYS,Canarys Automations Limited,"  23,597 "
MAHESHWARI,Maheshwari Logistics Limited,"  23,589 "
CORALFINAC,Coral India Finance & Housing Limited,"  23,577 "
GREENCHEF,Greenchef Appliances Limited,"  23,470 "
AURDIS,Aurangabad Distillery Limited,"  23,370 "
SOFTTECH,Softtech Engineers Limited,"  23,349 "
AARVI,Aarvi Encon Limited,"  23,322 "
DTIL,Dhunseri Tea & Industries Limited,"  23,290 "
IVP,IVP Limited,"  23,177 "
PALREDTEC,Palred Technologies Limited,"  23,132 "
EROSMEDIA,Eros International Media Limited,"  23,115 "
INDOTHAI,Indo Thai Securities Limited,"  22,965 "
NITCO,Nitco Limited,"  22,779 "
WELINV,Welspun Investments and Commercials Limited,"  22,753 "
MAGNUM,Magnum Ventures Limited,"  22,718 "
QMSMEDI,QMS Medical Allied Services Limited,"  22,696 "
ATAM,Atam Valves Limited,"  22,531 "
GENCON,Generic Engineering Construction and Projects Limited,"  22,487 "
CCHHL,Country Club Hospitality & Holidays Limited,"  22,476 "
GIRRESORTS,GIR Natureview Resorts Limited,"  22,472 "
RELCHEMQ,Reliance Chemotex Industries Limited,"  22,431 "
ARSHIYA,Arshiya Limited,"  22,395 "
VITAL,Vital Chemtech Limited,"  22,334 "
LLOYDS,Lloyds Luxuries Limited,"  22,275 "
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,"  22,246 "
KEL,Kundan Edifice Limited,"  22,177 "
CHAVDA,Chavda Infra Limited,"  22,042 "
ASCOM,Ascom Leasing & Investments Limited,"  22,017 "
SHIGAN,Shigan Quantum Technologies Limited,"  21,992 "
VETO,Veto Switchgears And Cables Limited,"  21,992 "
MOS,Mos Utility Limited,"  21,943 "
INDOWIND,Indowind Energy Limited,"  21,896 "
INVENTURE,Inventure Growth & Securities Limited,"  21,840 "
SWASTIK,Swastik Pipe Limited,"  21,803 "
SUVIDHAA,Suvidhaa Infoserve Limited,"  21,782 "
BAFNAPH,Bafna Pharmaceuticals Limited,"  21,764 "
ALPA,Alpa Laboratories Limited,"  21,735 "
BSL,BSL Limited,"  21,665 "
INFOLLION,Infollion Research Services Limited,"  21,611 "
TTL,T T Limited,"  21,520 "
LOVABLE,Lovable Lingerie Limited,"  21,519 "
TEXMOPIPES,Texmo Pipes and Products Limited,"  21,429 "
ZEELEARN,Zee Learn Limited,"  21,359 "
USK,Udayshivakumar Infra Limited,"  21,340 "
MODIRUBBER,Modi Rubber Limited,"  21,284 "
TREJHARA,TREJHARA SOLUTIONS LIMITED,"  21,269 "
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,"  21,268 "
DCI,Dc Infotech And Communication Limited,"  21,162 "
DIGIKORE,Digikore Studios Limited,"  21,006 "
SURANAT&P,Surana Telecom and Power Limited,"  20,975 "
IEL,Indiabulls Enterprises Limited,"  20,925 "
TOTAL,Total Transport Systems Limited,"  20,909 "
EFACTOR,E Factor Experiences Limited,"  20,745 "
VIPULLTD,Vipul Limited,"  20,697 "
SALSTEEL,S.A.L. Steel Limited,"  20,647 "
A2ZINFRA,A2Z Infra Engineering Limited,"  20,606 "
RHFL,Reliance Home Finance Limited,"  20,594 "
FRETAIL,Future Retail Limited,"  20,336 "
DENEERS,De Neers Tools Limited,"  20,160 "
LATTEYS,Latteys Industries Limited,"  20,066 "
SPLIL,SPL Industries Limited,"  19,952 "
KDL,Kore Digital Limited,"  19,943 "
JOCIL,Jocil Limited,"  19,898 "
TARMAT,Tarmat Limited,"  19,854 "
NOIDATOLL,Noida Toll Bridge Company Limited,"  19,830 "
ATLANTAA,Atlantaa  Limited,"  19,764 "
UNIHEALTH,Unihealth Consultancy Limited,"  19,727 "
UNITEDPOLY,United Polyfab Gujarat Limited,"  19,726 "
AKSHOPTFBR,Aksh Optifibre Limited,"  19,686 "
SRIVASAVI,Srivasavi Adhesive Tapes Limited,"  19,681 "
ARCHIDPLY,Archidply Industries Limited,"  19,656 "
AIROLAM,Airo Lam limited,"  19,555 "
ROCKINGDCE,Rockingdeals Circular Economy Limited,"  19,487 "
ASPINWALL,Aspinwall and Company Limited,"  19,350 "
VAISHALI,Vaishali Pharma Limited,"  19,280 "
KBCGLOBAL,KBC Global Limited,"  19,244 "
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,"  19,217 "
SIGIND,Signet Industries Limited,"  19,193 "
ARVEE,Arvee Laboratories (India) Limited,"  19,059 "
AVONMORE,Avonmore Capital & Management Services Limited,"  18,986 "
VISESHINFO,Visesh Infotecnics Limited,"  18,872 "
JMA,Jullundur Motor Agency (Delhi) Limited,"  18,810 "
AKI,AKI India Limited,"  18,741 "
NILASPACES,Nila Spaces Limited,"  18,710 "
RAJSREESUG,Rajshree Sugars & Chemicals Limited,"  18,622 "
SHIVATEX,Shiva Texyarn Limited,"  18,550 "
FELIX,Felix Industries Limited,"  18,498 "
MANAKCOAT,Manaksia Coated Metals & Industries Limited,"  18,481 "
BAHETI,Baheti Recycling Industries Limited,"  18,477 "
EMMBI,Emmbi Industries Limited,"  18,407 "
GLOBALVECT,Global Vectra Helicorp Limited,"  18,361 "
TOUCHWOOD,Touchwood Entertainment Limited,"  18,284 "
WEIZMANIND,Weizmann Limited,"  18,238 "
SHAH,Shah Metacorp Limited,"  18,230 "
SMARTLINK,Smartlink Holdings Limited,"  18,090 "
DRCSYSTEMS,DRC Systems India Limited,"  18,082 "
NIRMAN,Nirman Agri Genetics Limited,"  18,076 "
ALPHAGEO,Alphageo (India) Limited,"  18,066 "
PASHUPATI,Pashupati Cotspin Limited,"  18,035 "
UMAEXPORTS,Uma Exports Limited,"  18,004 "
BEARDSELL,Beardsell Limited,"  17,904 "
SHRITECH,Shri Techtex Limited,"  17,852 "
ISFT,Intrasoft Technologies Limited,"  17,847 "
TECHLABS,Trident Techlabs Limited,"  17,808 "
BHARATGEAR,Bharat Gears Limited,"  17,750 "
GVPTECH,GVP Infotech Limited,"  17,670 "
NIRAJ,Niraj Cement Structurals Limited,"  17,548 "
CAPTRUST,Capital Trust Limited,"  17,548 "
RKEC,RKEC Projects Limited,"  17,537 "
BAGFILMS,B.A.G Films and Media Limited,"  17,501 "
ARHAM,Arham Technologies Limited,"  17,364 "
MUKTAARTS,Mukta Arts Limited,"  17,357 "
LOTUSEYE,Lotus Eye Hospital and Institute Limited,"  17,344 "
TRANSTEEL,Transteel Seating Technologies Limited,"  17,333 "
DANGEE,Dangee Dums Limited,"  17,322 "
DYNAMIC,Dynamic Services & Security Limited,"  17,256 "
WORTH,Worth Peripherals Limited,"  17,224 "
AHLADA,Ahlada Engineers Limited,"  17,153 "
SIKKO,Sikko Industries Limited,"  17,136 "
KOHINOOR,Kohinoor Foods Limited,"  17,109 "
DUCOL,Ducol Organics And Colours Limited,"  17,106 "
FCONSUMER,Future Consumer Limited,"  16,975 "
KREBSBIO,Krebs Biochemicals and Industries Limited,"  16,893 "
PRAKASHSTL,Prakash Steelage Limited,"  16,888 "
INDBANK,Indbank Merchant Banking Services Limited,"  16,864 "
XELPMOC,Xelpmoc Design And Tech Limited,"  16,693 "
AMJLAND,Amj Land Holdings Limited,"  16,687 "
UMANGDAIRY,Umang Dairies Limited,"  16,656 "
DJML,DJ Mediaprint & Logistics Limited,"  16,529 "
JHS,JHS Svendgaard Laboratories Limited,"  16,517 "
CADSYS,Cadsys (India) Limited,"  16,506 "
SURANASOL,Surana Solar Limited,"  16,386 "
RILINFRA,Rachana Infrastructure Limited,"  16,382 "
SADBHIN,Sadbhav Infrastructure Project Limited,"  16,378 "
URBAN,Urban Enviro Waste Management Limited,"  16,313 "
LAMBODHARA,Lambodhara Textiles Limited,"  16,257 "
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,"  16,176 "
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,"  16,121 "
SMSLIFE,SMS Lifesciences India Limited,"  16,011 "
IL&FSTRANS,IL&FS Transportation Networks Limited,"  15,955 "
MANAKALUCO,Manaksia Aluminium Company Limited,"  15,925 "
INDIANCARD,Indian Card Clothing Company Limited,"  15,913 "
SUMIT,Sumit Woods Limited,"  15,859 "
THOMASCOTT,Thomas Scott (India) Limited,"  15,851 "
BALPHARMA,Bal Pharma Limited,"  15,812 "
PARTYCRUS,Party Cruisers Limited,"  15,730 "
PANSARI,Pansari Developers Limited,"  15,720 "
MADHUSUDAN,Madhusudan Masala Limited,"  15,719 "
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,"  15,666 "
KARNIKA,Karnika Industries Limited,"  15,630 "
LAGNAM,Lagnam Spintex Limited,"  15,558 "
VARDMNPOLY,Vardhman Polytex Limited,"  15,556 "
MANGALAM,Mangalam Drugs And Organics Limited,"  15,535 "
TIRUPATIFL,Tirupati Forge Limited,"  15,484 "
SIL,Standard Industries Limited,"  15,439 "
3RDROCK,3rd Rock Multimedia Limited,"  15,316 "
SALONA,Salona Cotspin Limited,"  15,300 "
AMDIND,AMD Industries Limited,"  15,285 "
YUDIZ,Yudiz Solutions Limited,"  15,273 "
SWARAJ,Swaraj Suiting Limited,"  15,264 "
FIDEL,Fidel Softech Limited,"  15,187 "
ASTRON,Astron Paper & Board Mill Limited,"  15,089 "
RSSOFTWARE,R. S. Software (India) Limited,"  15,052 "
CENTEXT,Century Extrusions Limited,"  15,040 "
LASA,Lasa Supergenerics Limited,"  14,980 "
KALYANIFRG,Kalyani Forge Limited,"  14,918 "
RMDRIP,R M Drip and Sprinklers Systems Limited,"  14,859 "
CMNL,Chaman Metallics Limited,"  14,831 "
DCM,DCM  Limited,"  14,774 "
MOTOGENFIN,The Motor & General Finance Limited,"  14,755 "
CTE,Cambridge Technology Enterprises Limited,"  14,713 "
IPSL,Integrated Personnel Services Limited,"  14,636 "
CORDSCABLE,Cords Cable Industries Limited,"  14,621 "
PRAENG,Prajay Engineers Syndicate Limited,"  14,547 "
ACCURACY,Accuracy Shipping Limited,"  14,529 "
ANLON,Anlon Technology Solutions Limited,"  14,452 "
AARTECH,Aartech Solonics Limited,"  14,265 "
SUNDARAM,Sundaram Multi Pap Limited,"  14,216 "
SONAMLTD,SONAM LIMITED,"  14,211 "
SURYALAXMI,Suryalakshmi Cotton Mills Limited,"  14,179 "
GOYALALUM,Goyal Aluminiums Limited,"  14,131 "
ARTNIRMAN,Art Nirman Limited,"  14,063 "
GTL,GTL Limited,"  13,999 "
ALKALI,Alkali Metals Limited,"  13,879 "
OMAXAUTO,Omax Autos Limited,"  13,859 "
FLEXITUFF,Flexituff Ventures International Limited,"  13,858 "
MAHASTEEL,Mahamaya Steel Industries Limited,"  13,854 "
SHRADHA,Shradha Infraprojects Limited,"  13,729 "
GOLDKART,Goldkart Jewels Limited,"  13,722 "
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,"  13,709 "
ANIKINDS,Anik Industries Limited,"  13,682 "
WIPL,The Western India Plywoods Limited,"  13,665 "
SUPREMEINF,Supreme Infrastructure India Limited,"  13,582 "
PULZ,Pulz Electronics Limited,"  13,575 "
SSFL,Srivari Spices And Foods Limited,"  13,491 "
ABCOTS,A B Cotspin India Limited,"  13,380 "
JAINAM,Jainam Ferro Alloys (I) Limited,"  13,344 "
OILCOUNTUB,Oil Country Tubular Limited,"  13,265 "
SECMARK,SecMark Consultancy Limited,"  13,238 "
GRAPHISAD,Graphisads Limited,"  13,214 "
SOTAC,Sotac Pharmaceuticals Limited,"  13,039 "
PIONEEREMB,Pioneer Embroideries Limited,"  13,012 "
GICL,Globe International Carriers Limited,"  12,958 "
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,"  12,832 "
ENERGYDEV,Energy Development Company Limited,"  12,683 "
SHAHALLOYS,Shah Alloys Limited,"  12,631 "
MAL,Mangalam Alloys Limited,"  12,627 "
PATINTLOG,Patel Integrated Logistics Limited,"  12,530 "
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,"  12,524 "
PARIN,Parin Furniture Limited,"  12,452 "
SHREEOSFM,Shree OSFM E-Mobility Limited,"  12,420 "
MITCON,MITCON Consultancy & Engineering Services Limited,"  12,411 "
GANGESSECU,Ganges Securities Limited,"  12,410 "
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,"  12,380 "
OBCL,Orissa Bengal Carrier Limited,"  12,355 "
DOLLEX,Dollex Agrotech Limited,"  12,284 "
MHHL,Mohini Health & Hygiene Limited,"  12,264 "
NITIRAJ,Nitiraj Engineers Limited,"  12,188 "
SIMBHALS,Simbhaoli Sugars Limited,"  12,157 "
TIMESGTY,Times Guaranty Limited,"  12,123 "
VELS,Vels Film International Limited,"  12,004 "
CROWN,Crown Lifters Limited,"  11,935 "
MDL,Marvel Decor Limited,"  11,868 "
DIL,Debock Industries Limited,"  11,790 "
HPIL,Hindprakash Industries Limited,"  11,779 "
PALASHSECU,Palash Securities Limited,"  11,734 "
BLBLIMITED,BLB Limited,"  11,710 "
DBSTOCKBRO,DB (International) Stock Brokers Limited,"  11,708 "
UNIVASTU,Univastu India Limited,"  11,706 "
PRUDMOULI,Prudential Sugar Corporation Limited,"  11,675 "
AAKASH,Aakash Exploration Services Limited,"  11,644 "
AGRITECH,Agri-Tech (India) Limited,"  11,553 "
DAMODARIND,Damodar Industries Limited,"  11,522 "
QUICKTOUCH,Quicktouch Technologies Limited,"  11,416 "
BANKA,Banka BioLoo Limited,"  11,405 "
BVCL,Barak Valley Cements Limited,"  11,368 "
S&SPOWER,S&S Power Switchgears Limited,"  11,321 "
ONDOOR,On Door Concepts Limited,"  11,289 "
TOKYOPLAST,Tokyo Plast International Limited,"  11,235 "
HOMESFY,Homesfy Realty Limited,"  11,200 "
AVROIND,AVRO INDIA LIMITED,"  11,172 "
ZENITHSTL,Zenith Steel Pipes & Industries Limited,"  11,169 "
SYNOPTICS,Synoptics Technologies Limited,"  11,151 "
STEELCITY,Steel City Securities Limited,"  11,051 "
BABAFP,Baba Food Processing (India) Limited,"  11,020 "
HISARMETAL,Hisar Metal Industries Limited,"  11,013 "
AKSHAR,Akshar Spintex Limited,"  11,000 "
MCON,Mcon Rasayan India Limited,"  10,874 "
DGCONTENT,Digicontent Limited,"  10,794 "
SOMICONVEY,Somi Conveyor Beltings Limited,"  10,784 "
RCDL,Rajgor Castor Derivatives Limited,"  10,774 "
MRO-TEK,MRO-TEK Realty Limited,"  10,744 "
AAATECH,AAA Technologies Limited,"  10,736 "
GRCL,Gayatri Rubbers And Chemicals Limited,"  10,736 "
YAARI,Yaari Digital Integrated Services Limited,"  10,697 "
VIVIANA,Viviana Power Tech Limited,"  10,680 "
ARABIAN,Arabian Petroleum Limited,"  10,620 "
GROBTEA,The Grob Tea Company Limited,"  10,607 "
VERTEXPLUS,Vertexplus Technologies Limited,"  10,595 "
MCL,Madhav Copper Limited,"  10,559 "
NIBL,NRB Industrial Bearings Limited,"  10,552 "
MARSHALL,Marshall Machines Limited,"  10,517 "
ARIHANTACA,Arihant Academy Limited,"  10,503 "
KHFM,Khfm Hospitality And Facility Management Services Limited,"  10,402 "
DELTAMAGNT,Delta Manufacturing Limited,"  10,385 "
PRESSTONIC,Presstonic Engineering Limited,"  10,297 "
SAMPANN,Sampann Utpadan India Limited,"  10,193 "
BHANDARI,Bhandari Hosiery Exports Limited,"  9,970 "
PKTEA,The Peria Karamalai Tea & Produce Company Limited,"  9,932 "
LPDC,Landmark Property Development Company Limited,"  9,927 "
HOLMARC,Holmarc Opto-Mechatronics Limited,"  9,909 "
LEMERITE,Le Merite Exports Limited,"  9,862 "
INDSWFTLTD,Ind-Swift Limited,"  9,858 "
MBECL,Mcnally Bharat Engineering Company Limited,"  9,813 "
MAGSON,Magson Retail And Distribution Limited,"  9,801 "
CINEVISTA,Cinevista Limited,"  9,707 "
PANACHE,Panache Digilife Limited,"  9,678 "
FIBERWEB,Fiberweb (India) Limited,"  9,674 "
ARCHIES,Archies Limited,"  9,661 "
REGENCERAM,Regency Ceramics Limited,"  9,585 "
TPHQ,Teamo Productions HQ Limited,"  9,473 "
AATMAJ,Aatmaj Healthcare Limited,"  9,413 "
SHEETAL,Sheetal Universal Limited,"  9,405 "
SETCO,Setco Automotive Limited,"  9,364 "
PROLIFE,Prolife Industries Limited,"  9,335 "
CELEBRITY,Celebrity Fashions Limited,"  9,243 "
HECPROJECT,HEC Infra Projects Limited,"  9,231 "
GLOBALPET,Global Pet Industries Limited,"  9,200 "
MARCO,Marco Cables & Conductors Limited,"  9,181 "
AGROPHOS,Agro Phos India Limited,"  9,164 "
HOVS,HOV Services Limited,"  9,131 "
CUBEXTUB,Cubex Tubings Limited,"  9,128 "
AUSOMENT,Ausom Enterprise Limited,"  9,087 "
KARMAENG,Karma Energy Limited,"  9,071 "
DHRUV,Dhruv Consultancy Services Limited,"  9,064 "
WEWIN,WE WIN LIMITED,"  9,053 "
PENTAGON,Pentagon Rubber Limited,"  9,021 "
AUROIMPEX,Auro Impex  & Chemicals Limited,"  9,010 "
ATALREAL,Atal Realtech Limited,"  8,992 "
TREEHOUSE,Tree House Education & Accessories Limited,"  8,885 "
VINNY,Vinny Overseas Limited,"  8,840 "
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,"  8,812 "
AMBANIORG,Ambani Organics Limited,"  8,788 "
GOLDENTOBC,Golden Tobacco Limited,"  8,734 "
RELIABLE,Reliable Data Services Limited,"  8,669 "
ZENITHEXPO,Zenith Exports Limited,"  8,658 "
MONOPHARMA,Mono Pharmacare Limited,"  8,658 "
ASHOKAMET,Ashoka Metcast Limited,"  8,624 "
VASWANI,Vaswani Industries Limited,"  8,610 "
INSPIRE,Inspire Films Limited,"  8,574 "
PRITIKA,Pritika Engineering Components Limited,"  8,569 "
KEYFINSERV,Keynote Financial Services Limited,"  8,562 "
LEXUS,Lexus Granito (India) Limited,"  8,540 "
CPS,C P S Shapers Limited,"  8,503 "
CELLPOINT,Cell Point (India) Limited,"  8,446 "
PODDARHOUS,Poddar Housing and Development Limited,"  8,441 "
ORIENTLTD,Orient Press Limited,"  8,375 "
MORARJEE,Morarjee Textiles Limited,"  8,320 "
MAITREYA,Maitreya Medicare Limited,"  8,307 "
SHIVAMILLS,Shiva Mills Limited,"  8,305 "
PRAMARA,Pramara Promotions Limited,"  8,267 "
