Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
RHIM,RHI MAGNESITA INDIA LIMITED,"  1,662,853 "
CLEAN,Clean Science and Technology Limited,"  1,645,879 "
FINCABLES,Finolex Cables Limited,"  1,635,151 "
INDIAMART,Indiamart Intermesh Limited,"  1,632,572 "
INOXWIND,Inox Wind Limited,"  1,628,928 "
PVRINOX,PVR INOX Limited,"  1,628,075 "
IRCON,Ircon International Limited,"  1,612,044 "
DCMSHRIRAM,DCM Shriram Limited,"  1,603,711 "
SHYAMMETL,Shyam Metalics and Energy Limited,"  1,601,397 "
APTUS,Aptus Value Housing Finance India Limited,"  1,595,309 "
CGCL,Capri Global Capital Limited,"  1,587,288 "
KIMS,Krishna Institute of Medical Sciences Limited,"  1,583,910 "
TVSHLTD,TVS Holdings Limited,"  1,561,989 "
EIHOTEL,EIH Limited,"  1,560,284 "
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,"  1,554,120 "
CONCORDBIO,Concord Biotech Limited,"  1,539,741 "
FINEORG,Fine Organic Industries Limited,"  1,526,330 "
KEC,KEC International Limited,"  1,514,765 "
NSLNISP,NMDC Steel Limited,"  1,506,331 "
IEX,Indian Energy Exchange Limited,"  1,498,044 "
APLLTD,Alembic Pharmaceuticals Limited,"  1,492,700 "
TEJASNET,Tejas Networks Limited,"  1,478,312 "
NATCOPHARM,Natco Pharma Limited,"  1,474,211 "
TANLA,Tanla Platforms Limited,"  1,471,865 "
NBCC,NBCC (India) Limited,"  1,467,900 "
LAXMIMACH,Lakshmi Machine Works Limited,"  1,467,711 "
MANAPPURAM,Manappuram Finance Limited,"  1,455,868 "
WELCORP,Welspun Corp Limited,"  1,434,327 "
CHALET,Chalet Hotels Limited,"  1,430,471 "
POLYMED,Poly Medicure Limited,"  1,429,475 "
HONASA,Honasa Consumer Limited,"  1,418,264 "
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,"  1,405,321 "
WELSPUNLIV,Welspun Living Limited,"  1,403,777 "
ASAHIINDIA,Asahi India Glass Limited,"  1,401,657 "
